Time,Prey,Predator
0.00,21000.00000,49000.00000
1.00,15774.86400,80010256.43419
2.00,-7178004.46402,-59410978054971.78125
3.00,-2430777921830808.00000,14939287515866515009695645696.00000
4.00,206990314490270335188349580996308369408.00000,319887898236550152044451036925800366266995078508898480618341400576.00000
5.00,-377418070948406123032094782290533915087294231331483195419699664927191585744458409151329304905252864.00000,-12489308736276481084268523636688867772249316970389235111993684498067751501321265368016233892783595291023593829339074445586102313531209559000229964400117721700761600.00000
6.00,-26868037621129904215720322277198386350054104308894054067891342091992915693221772965301011387942415473908081713003062932759302081246153764907127717214938532365072767383797195935636804963699982533817709933898915093229829017857936669510203554652473543920451584.00000,inf
7.00,inf,inf
8.00,-nan,-nan
9.00,-nan,-nan
10.00,-nan,-nan
11.00,-nan,-nan
12.00,-nan,-nan
13.00,-nan,-nan
14.00,-nan,-nan
15.00,-nan,-nan
16.00,-nan,-nan
17.00,-nan,-nan
18.00,-nan,-nan
19.00,-nan,-nan
20.00,-nan,-nan
21.00,-nan,-nan
22.00,-nan,-nan
23.00,-nan,-nan
24.00,-nan,-nan
25.00,-nan,-nan
26.00,-nan,-nan
27.00,-nan,-nan
28.00,-nan,-nan
29.00,-nan,-nan
30.00,-nan,-nan
31.00,-nan,-nan
32.00,-nan,-nan
33.00,-nan,-nan
34.00,-nan,-nan
35.00,-nan,-nan
36.00,-nan,-nan
37.00,-nan,-nan
38.00,-nan,-nan
39.00,-nan,-nan
40.00,-nan,-nan
41.00,-nan,-nan
42.00,-nan,-nan
43.00,-nan,-nan
44.00,-nan,-nan
45.00,-nan,-nan
46.00,-nan,-nan
47.00,-nan,-nan
48.00,-nan,-nan
49.00,-nan,-nan
50.00,-nan,-nan
51.00,-nan,-nan
52.00,-nan,-nan
53.00,-nan,-nan
54.00,-nan,-nan
55.00,-nan,-nan
56.00,-nan,-nan
57.00,-nan,-nan
58.00,-nan,-nan
59.00,-nan,-nan
60.00,-nan,-nan
61.00,-nan,-nan
62.00,-nan,-nan
63.00,-nan,-nan
64.00,-nan,-nan
65.00,-nan,-nan
66.00,-nan,-nan
67.00,-nan,-nan
68.00,-nan,-nan
69.00,-nan,-nan
70.00,-nan,-nan
71.00,-nan,-nan
72.00,-nan,-nan
73.00,-nan,-nan
74.00,-nan,-nan
75.00,-nan,-nan
76.00,-nan,-nan
77.00,-nan,-nan
78.00,-nan,-nan
79.00,-nan,-nan
80.00,-nan,-nan
81.00,-nan,-nan
82.00,-nan,-nan
83.00,-nan,-nan
84.00,-nan,-nan
85.00,-nan,-nan
86.00,-nan,-nan
87.00,-nan,-nan
88.00,-nan,-nan
89.00,-nan,-nan
90.00,-nan,-nan
91.00,-nan,-nan
92.00,-nan,-nan
93.00,-nan,-nan
94.00,-nan,-nan
95.00,-nan,-nan
96.00,-nan,-nan
97.00,-nan,-nan
98.00,-nan,-nan
99.00,-nan,-nan
100.00,-nan,-nan
